"Model","Task Type","Status","Last Updated Timestamp","Callback URL"
"Bhashini-IISC ASR Maithili","asr","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iisc/asr-mai-t4"
"Bhashini - Anuvaad OCR - Gujarati - Printed","ocr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhashini - Anuvaad OCR - Odia - Printed","ocr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhashini - Anuvaad OCR - Bengali - Printed","ocr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhashini - Anuvaad OCR - Kannada - Printed","ocr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhashini - Anuvaad OCR - Telugu - Printed","ocr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhashini - Anuvaad OCR - Tamil - Printed","ocr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhashini - Anuvaad OCR - Malayalam - Printed","ocr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhashini - Anuvaad OCR - English - Printed","ocr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhashini - Anuvaad OCR - Hindi - Printed","ocr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhashini-AI4Bharat Textual Language Detection","txt-lang-detection","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/txtlangdetection?serviceId=bhashini/indic-lang-detection-all"
"Bhashini-IITM ASR (wav2vec) Urdu","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-misc--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Telugu","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-dravidian--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Tamil","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-dravidian--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Punjabi","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Oriya","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Marathi","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Malayalam","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-dravidian--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Kannada","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-dravidian--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Hindi","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Gujarati","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Bengali","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR (wav2vec) Bhojpuri","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-misc--gpu--t4"
"Bhashini-IITM ASR for Punjabi","asr","available","04/04/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR for Oriya","asr","available","04/04/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR for Marathi","asr","available","04/04/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR for Malayalam","asr","available","04/04/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-dravidian--gpu--t4"
"Bhashini-IITM ASR for Kannada","asr","available","04/04/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-dravidian--gpu--t4"
"Bhashini-IITM ASR for Hindi","asr","available","04/04/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR for Gujarati","asr","available","04/04/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM ASR for Bhojpuri","asr","available","04/04/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-misc--gpu--t4"
"Bhashini-IITM ASR for Bengali","asr","available","04/04/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=bhashini/iitm/asr-indoaryan--gpu--t4"
"Bhashini-IITM TTS for Bodo","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-Anuvaad OCR - Tesseract","ocr","unavailable","02/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/ocr?serviceId=bhashini-anuvaad-tesseract-ocr-printed-line-all"
"Bhahsini/IITM TTS for Ordia","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for urdu","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Telugu","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Tamil","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Rajasthani","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Punjabi","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Odia","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Marathi","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Manipuri","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Malayalam","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Kannada","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Hindi","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Gujarati","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for English","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Bengali","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IITM TTS for Assamese","tts","available","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhashini-IIITH HimangY Telugu-English","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=Bhashini/IIITH/Trans/V1"
"Bhahsini/IITM TTS for Odia","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Gujarati","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for urdu","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Telugu","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Tamil","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Rajasthani","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Punjabi","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Marathi","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Manipuri","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Malayalam","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Hindi","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for English","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
"Bhahsini/IITM TTS for Bengali","tts","available","14/03/2024","https://dhruva-api.bhashini.gov.in/services/inference/tts?serviceId=Bhashini/IITM/TTS"
